Doctor Name,Speciality,Professional Degree,Consultation Time,Available days,Contact,Email,Location
Dr. Tiny Nair,Chief Cardiologist,"MD, DM",10.30AM to 2PM,"Not available on: Saturday, Sunday",+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Prakash N Nair,Consultant Cardiologist,"MD, DNB (Cardiolology)",10AM to 5PM,Not available on: Wednesday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Krishna Kumar K,Senior Consultant - Interventional Cardiologist,"MD, DM",9AM to 3PM,Not available on: Sunday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Santhosh K R,Chief Interventional Cardiologist,"MD (GM), DM (Cardio)",9AM to 1PM,Not available on: Saturday,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. (Mrs) C.P Rohini Sastha,Head Of The Department,"MBBS, DA",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Lisha K. M,Junior Consultant,"MBBS, MD",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Sonish K,Consultant,"MBBS, MD",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Ravikumar G,Consultant,"MBBS, MD",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Anjali S,Jr. Consultant Anaesthetist,MD (Anaes),8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Archana Nair R,Consultant Anaesthetist,"MBBS, MD (Anaes), DNB (Anaes)",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.ASWIN MOHAN,Consultant,"MBBS,Diploma In Anaes, DNB(Anaes)",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.Sajin Joseph Mathew Varghese,Consultant Anesthetist,"MBBS,MD(Anaesthesiology)",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Azeem Fazil Mohammed,Senior Consultant,"MBBS, MS(General Surgery), FRCS MCh",8 am to 4 pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
